,Phrase
18,"A malformed star born in the lightless void far away. Once destroyed an Eternal City and took away their sky. A falling star of ill omen."
19,"Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form."
20,"Hmm... Very well. You... Join the Serpent King, as family... Together, we will devour the very gods!"
21,"Soon, Marika's offspring, demigods all, claimed the shards of the Elden Ring. The mad taint of their newfound strength triggered the Shattering. A war from which no lord arose."
22,"Whatever that thing is, it is no longer Praetor Rykard. Someone must kill him. To spare him, and his ambitions, from further dishonour."
23,"Elemer of the Briar, the Bell Bearing Hunter, snatched the sword from the site of his looming execution, and furnished it with battle skills from his home of Eochaid."
24,"However, when Godfrey, first Elden Lord, was hounded from the Lands Between, Radagon left Rennala to return to the Erdtree Capital, becoming Queen Marika's second husband and King Consort."
25,"Long and hard didst thou fight. Tarnished Warrior. Spurned by the grace of gold. Be assured, the Elden Ring resteth close at hand. Alas, I am returned. To be granted audience once more."
26,"Nngh! That will be all. Thou didst me good service, Serosh. I've given thee courtesy enough. Rrraaargh! Now I fight as Hoarah Loux! Warrior!"
27,"Graceless Tarnished. What is thy business with these thrones? Ahh... Godrick the Golden. The twin prodigies, Miquella and Malenia. General Radahn. Praetor Rykard. Lunar Princess Ranni. Wilful traitors, all. Thy kind are all of a piece. Pillagers. Emboldened by the flame of ambition. Have it writ upon thy meagre grave: Felled by King Morgott! Last of all kings."
28,"Tarnished, thou'rt but a fool. The Erdtree wards off all who deign approach. We are... we are all forsaken. None may claim the title of Elden Lord."
29,"There are four more demigods yet to be located. Miquella of the Haligtree, the Unalloyed. His twin, Malenia, the undefeated swordswoman. Lunar Princess Ranni, daughter to Rennala. And the one only known as the Lord of Blood."
30,"Commander Niall, veteran of Castle Sol, offered his prosthesis in exchange for the lives of defeated knights held prisoner. He went on to lead these men as an army of no nation."
31,"Hark, brave warriors. Hark, my lord Godfrey. We commend your deeds. Guidance hath delivered ye through each ordeal, to the place ye stand. Put the Giants to the sword, and confine the flame atop the mount. Let a new epoch begin. An epoch glistening with life. Brandish the Elden Ring, for the Age of the Erdtree!"
32,"Loretta, once a royal Carian Knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation."
33,"I dreamt for so long. My flesh was dull gold... and my blood, rotted. Corpse after corpse, left in my wake... As I awaited... his return. ... Heed my words. I am Malenia. Blade of Miquella. And I have never known defeat."
34,"Your strength, extraordinary... The mark... of a true Lord... O, dear Miquella... O, dearest Miquella, my brother... I'm sorry. I finally met my match..."
35,"The black flame could once slay gods. But when Maliketh sealed Destined Death, the true power of the black flame was lost."
36,"The Dragonlord whose seat lies at the heart of the storm beyond time is said to have been Elden Lord in the age before the Erdtree. Once his god was fled, the lord continued to await its return."
37,"In a long time past, Bayle turned upon the Dragonlord. The foul traitor assailed our master and inflicted a grievous wound, only to make a hasty retreat. Becoming a sworn enemy of the brood. Since that day, Bayle and his bloodline -- the drakes -- have served as sacrifices for Dragon Communion."
38,"Tarnished, why wouldst thou... Why... Tis no matter. I hereby vow, that Destined Death shall not be stolen again."
39,"It is... It is all... consumed. Still, I am not sated... Not nearly sated... Rrarrgh! Marika... Is this... what it is... to sin? Will things... never be the same... again? ... Tarnished... my thanks... for thy long... labour. But I have done... all I can... in this land... Henceforth, mine appetite shall be my sole companion. Farewell."
40,"After Godwyn the Golden became the Prince of Death, the ancient dragon fought long and hard against the Death within its companion. Alas, victory was never achieved and its only reward was corruption."
41,"So. The Haligtree, now but a husk... I heard speculation Miquella embedded himself in the Haligtree, but before he could finish, someone cut the tree open and absconded with his infant form."
42,"It's been a long while, Morgott. Long and hard didst thou fight. Tarnished Warrior. Spurned by the grace of gold. Be assured, the Elden Ring resteth close at hand. Alas, I am returned. To be granted audience once more. Upon my name as Godfrey, The first Elden Lord!"
43,"He once told me that if he became Elden Lord, he would never allow the downtrodden to be cheated ever again."
44,"It is said that long ago, the Greater Will sent a golden star bearing a beast into the Lands Between, which would later become the Elden Ring. It was the vassal beast of the Greater Will and the living incarnation of the concept of Order."
45,"Queen Marika is the vessel of the Elden Ring, carrier of its vision. A god, in truth. But after the Elden Ring's shattering, she was imprisoned in the Erdtree. A grim punishment for shattering the Order, despite her godhood."
46,"Divine beasts are messengers of the heavens, and their rage mirrors the tumult of the skies, of which storms are the pinnacle. When the Impaler's army assailed the tower, the ritual of the lion dance was turned toward martial endsâ€”its divinity, its fury, its light-footed beauty."
47,"Mongrel intruder. Thou'rt Tarnished, it seemeth. Mother, wouldst thou truly Lordship sanction, in one so bereft of light? Yet... my purpose standeth unchanged. Those stripped of the Grace of Gold shall all meet death. In the embrace of Messmer's flame."
48,"Gah... hah... I will not suffer... A lord devoid of light. O mother, forgive me. Grah! A-Argh... Gah... Phew... Soon, Tarnished. Wilt thou be taken in the jaws... Of the abyssal serpent, shorn of light."
49,"My Shining Star. Grant me mother's strength. Look here. At my fingers. I will be the true mother. And I will be the only mother!"
